Name,Tags
is_file,
is_dir,
file_exists,
filesize,
is_readable,
is_writeable,
filectime,
filemtime,
fileatime,
stat,获取文件大部分属性
fopen,
"fread（handle,length）",读取指定长度的内容
fgets,按行读取
basename,
dirname,
pathinfo,
opendir,
readdir,
rewindir,倒回目录句柄
closedir,
mkdir,
rmdir,
scandir,依次读取目录中的所有文件
feof,判断文件指针是否达到文件的结尾
fwrite,写文件
flock,文件锁定
ftruncate,将文件截取到指定长度
file,
copy,复制文件
unlink,删除文件
file_get_contents(),获取文件内容到字符串
file_put_contents(),将字符串写入到文件
rename,文件重命名
readfile,读取文件
"fseek（handle,offset,position）",定位文件指针
rewind,倒回文件句柄
sleep,延时函数
,
