Name,Tags
df,"-a 列出所有文件系统
-k 以kB的形式显示
-m 以MB的形式扎实
-h 以人类可读的形式展示
-H 以1M=1000k的形式替换1M=1024k
-T 显示文件系统类型
-i 用inode节点的形式显示"
du,"对文件和目录的磁盘使用情况进行列举，不加参数例句当前目录下的所有目录
-a 列举所有目录与文件
-s 列出总量
-S 不列出子目录
-h 人类可读
-k KB
-m MB"
fdisk,"-l 理出整个系统的分区
"
fdisk 磁盘分区,"列出分区信息，根据提示进行对应的操作
m 获取命令列表
q 不保存退出
p显示分区表
n 添加一个新的分区
d 删除一个分区
l 列出已知的文件系统类型
w 保存更改并退出
v 检验分区表
t 更改分区文件系统类型"
mkfs  -t 文件系统名 分区名,"磁盘格式化
mkfs tab tab 显示所有的文件系统类型
或者mkfs.ext2 分区名"
fsck 文件系统类型 分区名,"-C显示检查进度
-f强制逐一检查
-t 指定文件系统类型"
dd if=/dev/zero of=/a/rose count=100 bs=1M,"bs-blocksize 读取大小
count-读取次数"
fuser -u /dev/sda,显示当前有那些用户在使用该文件
umount -lf /dev/sda,强制解除挂载
fuser -v -n tcp 80,查看哪个tcp进程在使用80端口
fuser /dev/sda,显示使用该文件的进程号
fuser -k /dev/sda,杀掉使用该设备的进程
