Name,Tags
chown root:root a.txt,更改文件所有这
chgrp bin a.txt,更改文件所属组，凡是文件所属组的所有用户均可使用改命令
chattr -i a.txt,"更改文件属性 -i 使文件不能被轻易更改
-a 只能以追加模式添加内容"
lsattr a.txt,列出文件属性
chmod 777 a.txt,"更改文件权限 -c 只有文件权限确实被更改之后才显示提示信息
-R 递归地更改
-v 显示更改过程
-f 忽略错误信息"
cksum a.txt,计算文件的crc校验码。返回格式为 校验码 字节数 文件名
cmp a.txt b.txt,"比较两个文件，如果不同则会返回第一个不同之处的字符以及所在列数 
-l 列出所有不一样之处
-s 忽略错误信息
-v 显示版本信息"
"file ","辨识文件类型
-i 显示mime类型
-b 不显示文件名称
-c 显示执行过程
-v 显示版本信息"
find path option,"-name 文件名
-type c 文件 d 目录 l 符号连接 f 一般文件
-atime n 被读取时间
-ctime -n 访问时间
-size n 大小
-empty 空文件
-mtime +n 修改时间
-perm 777 权限
-user"
cut  option start-end a.txt,"按行截取从start 到end 的字符
-b 字节
-c 字符
"
cut -d : -f 2 a.txt,以：为分隔符 获取第二个截取的字段
,
"ln ",
paste file file1 file2,"合并文件的列
-s 将文件的隔行合并到一行显示
-d - 合并的分隔符delimiter"
rcp -pr root@ip add:file-path file-path,"远程复制，将远程主机某个用户root某个文件路径下的文件复制到当前主机的某个路径下面
-p 保留文件的权限、创建时间等信息
-r 递归地复制
不加密"
split -number a.txt armand,"将一个大文件切割成多个小文件 armndhe 表示新生成的文件前缀
-b 按字节分割
-C 在分割时尽量保持每行的完整性"
tee filename,"从标准输入读取用户的输入并将其写入文件
-a 以追加模式写入而不是覆盖"
tmpwatch 24 /tmp/,"删除/tmp目中超过24小时没有被使用过的文件
-a 删除任意类型的文件
-f 强制删除文件过目录
-v 显示相依执行过程
-q 不显示执行过程"
umask,"获取当前的权限掩码
755=777-权限掩码"
whereis mkdir,查询文件的信息，返回文件的文职，命令帮助手册的位置
rhmask a.txt b.txt,将a.txt加密后得到b.txt
scp localfile username@ip add:romte_file_path,"从本地复制文件到远程
加密得复制"
scp username@ip add:romte_file_path local_file_path,"从远程复制文件到本地
-P 指定端口号"
"read -p ""请输入值"" var
echo $var","读取键盘输入到变量var
-t 5 5秒后没有输入将退出"
uname -r,内核版本号
uname -m,内核架构特性
uname,系统类型
init 0,关闭系统
